id,supercategories,claim_labels
0,[1200],"[1200, 1207]"
1,"[100, 600]","[100, 105, 600, 601, 603]"
2,[1000],[1000]
3,"[100, 200]","[100, 107, 200, 201]"
4,[1000],[1000]
5,[],[]
6,"[100, 1800]","[100, 105, 1800, 1803]"
7,"[100, 300]","[100, 105, 300, 301]"
8,[],[]
9,"[100, 300]","[100, 105, 300, 301, 331]"
10,[],[]
11,"[100, 500]","[100, 105, 500, 504]"
12,[1800],[1800]
13,[],[]
14,"[1600, 2000]","[1600, 1609, 2000, 2011]"
15,"[200, 1300]","[200, 201, 230, 1300, 1302]"
16,"[100, 190, 200]","[100, 105, 200, 201, 230, 1900, 1901]"
17,[100],"[100, 105]"
18,"[100, 200, 1000]","[100, 105, 200, 201, 1000, 1002]"
19,[200],"[200, 230]"
20,[2000],[2000]
21,"[100, 1300]","[100, 105, 1300, 1302]"
22,"[1400, 2000]","[1400, 1401, 2000, 2011]"
23,"[100, 500, 1300]","[100, 105, 107, 1300, 1303, 1304]"
24,"[500, 600]","[500, 502, 505]"
25,[],[]
26,"[100, 500]","[100, 101, 105, 500, 502, 503]"
27,[2000],"[2000, 2012]"
28,"[100, 300, 700]","[100, 105, 300, 301, 700, 701]"
29,"[100, 200]","[100, 107, 200, 201, 207]"
30,"[100, 200]","[100, 105, 200, 201, 207]"
31,[],[]
32,[],[]
33,"[100, 500]","[100, 105, 500, 502, 506]"
34,[1000],"[1000, 1002]"
35,[],[]
36,[100],"[100, 101]"
37,[],[]
38,"[300, 500, 1000]","[300, 301, 500, 502, 1000, 1001]"
39,"[1000, 2000]","[1000, 1001, 2000, 2012]"
40,[1900],"[1900, 1901]"
41,[300],"[300, 301]"
42,"[1000, 600]",[1000]
43,"[300, 100]","[100, 105, 107, 300, 301]"
44,"[1000, 1200]","[1000, 1002, 1200, 1202]"
45,[2000],"[2000, 2011]"
46,"[1000, 2000]","[1000, 1002, 2000, 2012]"
47,"[100, 500]","[100, 105, 500, 504]"
48,"[100, 190, 200]","[100, 105, 190, 200, 201, 1800, 1803]"
49,[600],"[600, 601]"
50,[200],"[200, 207]"
51,"[1000, 1200]","[1000, 1001, 1200, 1202]"
52,"[100, 200]","[100, 107, 200, 201]"
53,[2000],"[2000, 2011]"
54,[2000],"[2000, 2012]"
55,"[100, 200]","[100, 107, 200, 201]"
56,"[1000, 200]","[200, 1000]"
57,[2000],[2000]
58,"[100, 1500]","[100, 1500]"
59,[],[]
60,[1600],"[1600, 1603, 1608]"
61,[300],"[300, 301]"
62,[600],"[600, 601, 603]"
63,"[100, 130, 140]","[100, 105, 130, 140, 1300, 1302, 1400, 1401]"
64,"[100, 200, 300]","[100, 105, 200, 201, 300, 301]"
65,"[100, 200]","[100, 105, 107, 108, 200, 201]"
66,"[1000, 200]","[200, 201, 1000, 1002]"
67,"[100, 600]","[100, 105, 300, 301, 600, 601]"
68,[2000],"[2000, 2012]"
69,[],[]
70,[],[]
71,[700],"[700, 701, 709]"
72,"[1000, 2000]","[100, 107, 1000, 1005, 2000, 2012]"
73,"[1300, 500]","[500, 504, 507, 1300, 1304]"
74,"[100, 1300]","[100, 105, 1300, 1302]"
75,"[100, 500]","[100, 105, 500, 502]"
76,"[1000, 2000]","[1000, 1001, 2000, 2011, 2012]"
77,[],[]
78,"[1400, 500]","[500, 505, 508, 1400, 1401]"
79,[2000],[2000]
80,"[100, 200]","[100, 105, 107, 200, 201]"
81,"[100, 200]","[100, 105, 200, 201]"
82,"[100, 200]","[100, 107, 200, 201]"
83,"[200, 1000, 500]","[200, 207, 500, 502, 1000, 1001]"
84,"[200, 400, 1000]","[200, 230, 400, 408, 1000, 1002]"
85,"[100, 200]","[100, 105, 200, 230, 600]"
86,[200],"[200, 230]"
87,[],[]
88,"[100, 200]","[100, 107, 200, 201]"
89,[],[]
90,"[100, 300]","[100, 105, 107, 300, 301]"
91,"[100, 200]","[100, 105, 200, 201]"
92,[2000],"[2000, 2012]"
93,[],[]
94,[500],"[500, 504, 506]"
95,"[1000, 1600]","[1000, 1002, 1600, 1603, 1609]"
96,"[100, 500]","[100, 105, 500, 502, 508]"
97,[600],"[600, 601]"
98,[600],"[600, 601, 603]"
99,[],[]
100,"[100, 500]","[100, 105, 500, 505]"
101,[2000],"[2000, 2012]"
102,"[100, 1300]","[100, 105, 1300, 1303]"
103,[1900],"[1900, 1920]"
104,"[100, 600, 300]","[100, 105, 300, 301, 332, 600, 601]"
105,[],[]
106,"[100, 200]","[100, 105, 200, 201]"
107,"[300, 100]","[100, 105, 107, 300, 301]"
108,[],[]
109,"[100, 300]","[100, 105, 300, 301, 325]"
110,"[100, 200]","[100, 105, 200, 201]"
111,"[100, 300, 200]","[100, 105, 200, 201, 300, 301]"
112,"[100, 1500]","[100, 105, 1500, 1501]"
113,[1200],[1200]
114,[],[]
115,"[1000, 2000]","[1000, 1001, 2000, 2011]"
116,[],[]
117,[],[]
118,[200],"[200, 202]"
119,[300],"[300, 301]"
120,[],[]
121,[],[]
122,[200],"[200, 201]"
123,"[100, 200]","[100, 105, 107]"
124,"[100, 180, 190]","[100, 105, 180, 190, 1800, 1803, 1900, 1901]"
125,"[100, 1000]","[100, 1000, 1002]"
126,[],[]
127,"[100, 500]","[100, 105, 500, 502]"
128,"[100, 500]","[100, 107, 1000]"
129,[200],"[200, 230]"
130,[1000],"[1000, 1002, 1005, 1006]"
131,"[1900, 200]","[200, 201, 1900, 1901]"
132,"[100, 300, 1300]","[100, 105, 300, 332, 1300, 1302]"
133,"[100, 300, 200]","[100, 105, 200, 201, 300, 301]"
134,[1600],"[1600, 1627]"
135,"[100, 190]","[100, 101, 190, 1900, 1901]"
136,"[100, 500, 200]","[100, 105, 200, 201, 500, 502]"
137,[],[]
138,"[100, 200]","[100, 105, 200, 201]"
139,[600],[600]
140,"[700, 800]","[700, 705, 800, 803, 807]"
141,[],[]
142,[],[]
143,[2000],"[2000, 2012]"
144,[100],"[100, 105]"
145,[],[]
146,"[100, 200]","[100, 108, 200, 201]"
147,"[100, 200]","[100, 105, 200, 201]"
148,"[100, 200]","[100, 105, 200, 207]"
149,[1200],"[1200, 1202, 1203, 1205, 1209]"
150,"[100, 500]","[100, 105, 500, 502, 503]"
151,[1200],"[1200, 1203, 1209]"
152,"[100, 1200]","[100, 101, 1200, 1202]"
153,"[1000, 200]","[200, 201, 1000, 1002]"
154,[],[]
155,[800],"[800, 806]"
156,[2000],"[2000, 2012]"
157,"[100, 300]","[100, 107, 300, 301]"
158,"[100, 200]","[100, 105, 200, 201, 207]"
159,"[100, 200, 300]","[100, 105, 200, 201, 300, 301, 331]"
160,[],[]
161,"[100, 500]","[100, 105, 500, 502, 506]"
162,[],[]
163,[],[]
164,[2000],"[2000, 2012]"
165,[200],"[200, 230]"
166,[],[]
167,[],[]
168,"[500, 1900]","[500, 504, 1900, 1901]"
169,"[1600, 1900]","[1600, 1601, 1900, 1901]"
170,"[100, 200]","[100, 105, 200, 201]"
171,[],[]
172,"[100, 500]","[100, 105, 500, 502, 504]"
173,[300],"[300, 331]"
174,"[1300, 1303]","[1300, 1303, 1304]"
175,[1400],"[1400, 1401]"
176,"[100, 500]","[100, 105, 500, 502, 507]"
177,"[100, 200]","[100, 105, 200, 201, 1000, 1001]"
178,[2000],"[2000, 2012]"
179,"[100, 1800]","[100, 105, 1800, 1803]"
180,"[1900, 1600]","[1600, 1603, 1900, 1903]"
181,[100],"[100, 105]"
182,[700],"[700, 705]"
183,"[400, 1400]","[400, 401, 1400, 1401, 1406]"
184,[200],"[200, 202]"
185,"[100, 200]","[100, 107, 200, 201]"
186,[100],"[100, 107]"
187,"[200, 600]","[200, 207, 600, 603, 605]"
188,"[100, 200]","[100, 105, 200, 201]"
189,"[100, 180, 190]","[100, 105, 180, 190, 1800, 1803, 1900, 1901]"
190,"[100, 200]","[100, 105, 200, 201, 207]"
191,"[300, 100]","[100, 105, 300, 301]"
192,[500],"[500, 504]"
193,[100],"[100, 107]"
194,"[100, 200]","[100, 105, 200, 201]"
195,"[100, 200]","[100, 105, 200, 201]"
196,"[1000, 600]","[600, 603, 604, 605, 1000, 1002]"
197,[],[]
198,[500],"[500, 504]"
199,"[100, 200]","[100, 105, 200, 201]"
200,[1900],"[1900, 1901, 1930]"
201,[500],"[500, 502]"
202,[],[]
203,[],[]
204,"[100, 200]","[100, 107, 200, 201]"
205,"[100, 200]","[100, 108, 200, 201]"
206,[1900],"[1900, 1901]"
207,"[1000, 200]","[200, 201, 1000, 1002]"
208,[1000],[1000]
209,"[100, 500]","[100, 105, 500, 502, 507]"
210,[1300],[1300]
211,"[100, 1800]","[100, 105, 1800, 1803]"
212,"[100, 1200]","[100, 105, 1200, 1203, 1206, 1209]"
213,"[1000, 2000]","[1000, 1002, 2000, 2011]"
214,[],[]
215,[],[]
216,[600],"[600, 602, 604]"
217,"[100, 600, 500]","[100, 105, 500, 502, 600, 601]"
218,[],[]
219,"[300, 1900]","[300, 301, 1800, 1803, 1900]"
220,"[100, 400]","[100, 105, 400, 408]"
221,[],[]
222,[],[]
223,"[700, 800]","[700, 701, 705, 800, 806]"
224,"[300, 100]","[100, 105, 107, 300, 301]"
225,[],[]
226,"[500, 300]","[300, 331, 500, 505]"
227,"[100, 1800]","[100, 105, 1800, 1803]"
228,"[100, 300, 700]","[100, 105, 300, 301, 700, 705]"
229,"[1900, 700]","[700, 701, 800, 801, 1900, 1901]"
230,"[200, 1800]","[200, 230, 1800, 1803]"
231,[100],"[100, 105]"
232,[],[]
233,"[200, 1800]","[200, 230, 500, 529, 1800, 1803]"
234,"[100, 200, 300]","[100, 107, 200, 201, 300, 301, 334]"
235,[],[]
236,"[100, 200]","[100, 107, 200, 201]"
237,[200],"[200, 230]"
238,[2000],[2000]
239,"[300, 100]","[100, 105, 107, 300, 301]"
240,[],[]
241,"[300, 1000]","[300, 301, 1000, 1001]"
242,[],[]
243,[],[]
244,[],[]
245,"[100, 500, 1300]","[100, 105, 500, 503, 1300, 1303]"
246,"[100, 800]","[100, 105, 800, 803]"
247,"[100, 500]","[100, 105, 500, 508]"
248,[],[]
249,[100],"[100, 105]"
250,"[100, 200]","[100, 105, 200, 201]"
251,"[100, 300, 200]","[100, 105, 200, 207, 300, 334]"
252,"[1400, 600]","[600, 601, 1400, 1401]"
253,"[100, 200]","[100, 105, 200, 201]"
254,"[100, 600]","[100, 105, 600, 601]"
255,"[100, 130, 300]","[100, 105, 130, 300, 334, 1300, 1303]"
256,"[1000, 200]","[200, 201, 1000, 1005]"
257,"[100, 200]","[100, 105, 107, 200, 201]"
258,"[300, 200]","[100, 107, 200, 201, 230, 300, 301]"
259,[],[]
260,[],[]
261,"[100, 600]","[100, 105, 600, 601]"
262,[],[]
263,"[100, 200]","[100, 105, 200, 201, 202, 207]"
264,"[1400, 600]","[600, 604, 1400, 1401, 1406, 1409]"
265,"[1000, 2000]","[1000, 1001, 2000, 2012]"
266,"[100, 300, 600]","[100, 105, 300, 334, 600, 604]"
267,"[1300, 300]","[200, 201, 300, 334, 1300, 1304]"
268,"[200, 500]","[200, 230, 500, 505, 508]"
269,"[100, 500]","[100, 105, 500, 503, 504]"
270,[200],"[200, 207]"
271,"[100, 200]","[100, 105, 200, 201]"
272,[],[]
273,[],[]
274,"[100, 200]","[100, 105, 200, 201]"
275,"[100, 200, 700]","[100, 105, 200, 201, 207, 700]"
276,"[100, 1400]","[100, 105, 1400, 1401, 1406]"
277,"[200, 1000, 700]","[200, 201, 700, 701, 1000, 1001]"
278,"[100, 500]","[100, 105, 500, 502]"
279,"[100, 200]","[100, 108, 200, 207]"
280,"[200, 500]","[200, 230, 500, 508, 529]"
281,"[200, 500]","[200, 230, 500, 529]"
282,[],[]
283,[],[]
284,[700],"[700, 705]"
285,[1600],"[1600, 1603, 1609]"
286,[],[]
287,"[200, 600]","[200, 201, 600, 603, 604, 607]"
288,"[200, 1900]","[200, 230, 1900, 1901]"
289,[500],"[500, 504]"
290,[],[]
291,"[100, 200]","[100, 105, 200, 201]"
292,"[1600, 1200]","[1200, 1202, 1600, 1627]"
293,"[1600, 200]","[200, 201, 207, 1600, 1603, 1609]"
294,[],[]
295,"[800, 1600]","[800, 801, 1600, 1603, 1609]"
296,[200],"[200, 230]"
297,[],[]
298,"[100, 200]","[100, 105, 200, 201]"
299,[],[]
300,"[100, 1200]","[100, 105, 1200, 1202, 1205]"
301,"[100, 180, 190]","[100, 105, 180, 190, 1800, 1803, 1900, 1901]"
302,[100],"[100, 107]"
303,"[1300, 500]","[500, 502, 1300, 1302]"
304,[200],"[200, 230]"
305,"[1000, 2000]","[1000, 1001, 2000, 2012]"
306,[100],"[100, 105]"
307,[],[]
308,[300],"[300, 301]"
309,"[700, 400]","[100, 105, 400, 406, 700, 701]"
310,[1200],"[1200, 1207]"
311,"[100, 200]","[100, 107, 200, 201]"
312,"[100, 1300, 1500]","[100, 105, 1300, 1303, 1500, 1501]"
313,[],[]
314,"[100, 200]","[100, 107, 200, 201]"
315,"[600, 500, 1400]","[500, 502, 600, 601, 1400, 1401]"
316,"[100, 200]","[100, 105, 107, 200, 201]"
317,"[200, 500]","[200, 230, 500, 529]"
318,[],[]
319,[],[]
320,[100],"[100, 105]"
321,[],[]
322,"[1300, 500]","[500, 504, 506, 1300, 1303, 1304]"
323,"[100, 1000, 1300]","[100, 105, 1000, 1001, 1300, 1302]"
324,[100],[100]
325,"[500, 300]","[300, 301, 331, 500, 504]"
326,"[1600, 100]","[100, 105, 1600, 1603]"
327,[],[]
328,[],[]
329,[],[]
330,[300],"[300, 331]"
331,"[400, 1400]","[400, 401, 1400, 1401, 1406, 1409]"
332,[500],"[500, 504, 506]"
333,"[1000, 2000]","[1000, 1001, 2000, 2012]"
334,"[500, 1300]","[500, 529]"
335,[200],"[200, 230]"
336,"[100, 200]","[100, 105, 107, 200, 201]"
337,[2000],[2000]
338,[1200],"[1200, 1207]"
339,[300],"[300, 301, 332, 334]"
340,"[100, 200]","[100, 105, 200, 201, 207]"
341,"[200, 500]","[200, 230, 500, 529]"
342,"[100, 1300, 300]","[100, 105, 300, 301, 1300, 1302]"
343,[],[]
351,[800],"[800, 801, 806, 807]"
361,[1600],"[1600, 1603, 1609, 1610]"
388,"[700, 400, 800]","[400, 406, 700, 701, 800, 807]"
394,[1600],"[800, 801, 1600]"
404,[1200],"[1200, 1205, 1208, 1209]"
416,[],[]
429,"[300, 1000]","[300, 301, 1000, 1001]"
432,"[300, 100, 1300]","[100, 107, 300, 301, 1300, 1304]"
447,"[100, 200]","[100, 105, 200, 201]"
455,[],[]
484,[1200],"[1200, 1205, 1207]"
624,"[100, 180, 190]","[100, 105, 180, 190, 400, 408, 1900, 1910]"
628,"[300, 1000]","[100, 300, 301, 344, 1000, 1001]"
671,"[100, 200, 1300]","[100, 105, 200, 201, 1300, 1302, 1304]"
737,[700],"[700, 701, 705]"
748,"[1000, 700]","[700, 701, 705, 1000, 1003, 1005, 1006]"
998,[],[]
1222,"[1200, 344]","[300, 344, 1200, 1203]"
1361,[],[]
1420,[],[]
1426,"[500, 1300]","[500, 506, 1300, 1303]"
1756,"[200, 600]","[200, 201, 207, 600, 603]"
