id,supercategories,claim_labels
0,[1200],"[1200, 1207]"
1,"[100, 600]","[100, 105, 600, 601, 603, 604, 607]"
2,[1000],[1000]
3,"[100, 200]","[100, 105, 200, 201]"
4,[1000],[1000]
5,"[100, 1400, 200, 500, 600]","[100, 105, 200, 201, 500, 502, 600, 604, 1400, 1401]"
6,"[100, 180, 190]","[100, 105, 180, 190, 1800, 1803, 1900, 1901]"
7,"[100, 300]","[100, 105, 300, 301]"
8,"[100, 500, 200]","[100, 105, 200, 201, 500, 502]"
9,"[100, 300]","[100, 105, 300, 301, 331]"
10,"[500, 200]","[200, 201, 500, 529]"
11,"[100, 200]","[100, 105, 200, 201]"
12,"[100, 1800]","[100, 1800, 1803]"
13,"[1200, 300]","[300, 301, 331, 1200, 1205, 1209]"
14,"[1000, 1600, 2000]","[1000, 1002, 1600, 1609, 2000, 2012]"
15,[200],"[200, 201, 207, 230]"
16,"[100, 200]","[100, 105, 200, 201, 207]"
17,[100],"[100, 105]"
18,"[100, 200, 1000]","[100, 105, 200, 201, 1000, 1002]"
19,[200],"[200, 230]"
20,[200],[200]
21,"[100, 1300]","[100, 105, 1300, 1302]"
22,"[1400, 1300]","[1300, 1302, 1400, 1401]"
23,"[100, 200, 300, 1300, 600]","[100, 105, 107, 200, 300, 301, 600, 601, 1300, 1304]"
24,"[500, 600]","[500, 505, 600, 601]"
25,"[100, 400, 700, 1300, 1400]","[100, 105, 400, 401, 700, 800, 807, 1300, 1302, 1400, 1401]"
26,"[100, 200]","[100, 101, 103, 105, 107]"
27,"[1000, 200, 100]","[100, 105, 200, 201, 1000, 1001]"
28,"[100, 300]","[100, 105, 300, 301, 331]"
29,"[200, 1000, 500]","[200, 207, 500, 504, 505, 1000, 1002]"
30,"[600, 200]","[200, 201, 207, 600, 603]"
31,"[100, 200]","[100, 105, 107, 200, 201]"
32,[],[]
33,"[100, 500]","[100, 105, 500, 504, 506]"
34,"[1000, 500]","[500, 502, 506, 1000, 1001]"
35,"[100, 200]","[100, 105, 107, 200, 201]"
36,[100],"[100, 101]"
37,[1000],[1000]
38,"[300, 500, 100]","[100, 105, 300, 301, 500, 502]"
39,[1000],[1000]
40,"[100, 200]","[100, 105, 200, 201]"
41,[300],"[300, 301, 325]"
42,[1000],[1000]
43,"[300, 100]","[100, 105, 107, 300, 301]"
44,[1000],[1000]
45,[2000],"[2000, 2012]"
46,"[1000, 2000]","[1000, 1002, 2000, 2012]"
47,[1000],"[1000, 1002]"
48,"[100, 190, 200]","[100, 105, 190, 200, 201, 1900, 1907]"
49,[600],"[600, 601]"
50,[200],"[200, 207]"
51,"[1000, 1200]","[1000, 1001, 1200, 1202]"
52,"[100, 200, 500]","[100, 105, 200, 201, 500, 504, 505]"
53,[2000],"[2000, 2012]"
54,"[1000, 200, 600]","[200, 201, 600, 601, 1000, 1001]"
55,"[100, 500]","[100, 105, 500, 502]"
56,[],[]
57,[1000],[1000]
58,"[100, 500]","[100, 101, 500, 505]"
59,"[300, 100, 500]","[100, 105, 300, 301, 500, 504]"
60,[1600],"[1600, 1603]"
61,[300],"[300, 301]"
62,[600],"[600, 601, 603]"
63,"[100, 1400, 1300]","[100, 105, 1300, 1302, 1400, 1401]"
64,"[1000, 2000]","[1000, 1005, 2000, 2012]"
65,"[100, 200]","[100, 104, 105, 107, 200, 201]"
66,"[1000, 200]","[200, 207, 1000, 1002]"
67,"[100, 600]","[100, 105, 600, 601, 604]"
68,[2000],"[2000, 2012]"
69,"[200, 500, 1000]","[200, 230, 500, 529, 1000, 1002]"
70,"[200, 500, 1000]","[200, 230, 500, 507, 1000, 1002]"
71,[700],"[700, 701, 709]"
